,date,predict,code
241,2020-01-14,0.0,002013
381,2020-01-15,0.0,002013
521,2020-01-16,0.0,002013
661,2020-01-17,0.0,002013
801,2020-01-20,0.0,002013
941,2020-01-21,0.0,002013
1081,2020-01-22,0.0,002013
1221,2020-01-23,0.0,002013
1361,2020-02-03,0.0,002013
1501,2020-02-04,0.0,002013
1641,2020-02-05,0.0,002013
1781,2020-02-06,0.0,002013
1921,2020-02-07,0.0,002013
2061,2020-02-10,1.0,002013
2201,2020-02-11,1.0,002013
2341,2020-02-12,1.0,002013
2481,2020-02-13,1.0,002013
2621,2020-02-14,1.0,002013
2761,2020-02-17,1.0,002013
2901,2020-02-18,1.0,002013
3041,2020-02-19,1.0,002013
3181,2020-02-20,1.0,002013
3321,2020-02-21,1.0,002013
3461,2020-02-24,1.0,002013
3601,2020-02-25,1.0,002013
3741,2020-02-26,0.0,002013
3881,2020-02-27,0.0,002013
4021,2020-02-28,0.0,002013
4161,2020-02-29,0.0,002013
73,2020-01-13,1.0,002024
213,2020-01-14,0.5931003093719482,002024
353,2020-01-15,0.0,002024
493,2020-01-16,0.0,002024
633,2020-01-17,0.0,002024
773,2020-01-20,0.0,002024
913,2020-01-21,0.0,002024
1053,2020-01-22,0.0,002024
1193,2020-01-23,0.0,002024
1333,2020-02-03,0.0,002024
1473,2020-02-04,0.0,002024
1613,2020-02-05,0.0,002024
1753,2020-02-06,0.0,002024
1893,2020-02-07,0.0,002024
2033,2020-02-10,0.14896130561828613,002024
2173,2020-02-11,1.0,002024
2313,2020-02-12,1.0,002024
2453,2020-02-13,1.0,002024
2593,2020-02-14,1.0,002024
2733,2020-02-17,1.0,002024
2873,2020-02-18,1.0,002024
3013,2020-02-19,1.0,002024
3153,2020-02-20,1.0,002024
3293,2020-02-21,1.0,002024
3433,2020-02-24,1.0,002024
3573,2020-02-25,1.0,002024
3713,2020-02-26,1.0,002024
3853,2020-02-27,0.0,002024
3993,2020-02-28,0.0,002024
4133,2020-02-29,0.0,002024
79,2020-01-13,0.30806684494018555,002059
219,2020-01-14,0.0,002059
359,2020-01-15,0.0,002059
499,2020-01-16,0.0,002059
639,2020-01-17,0.0,002059
779,2020-01-20,0.0,002059
919,2020-01-21,0.0,002059
1059,2020-01-22,0.0,002059
1199,2020-01-23,0.0,002059
1339,2020-02-03,0.0,002059
1479,2020-02-04,0.0,002059
1619,2020-02-05,0.0,002059
